epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.7059,0.31484,0.96154,1,0.11407,0.000549627,0.000549627,0.000549627
2,36.9208,0.13193,0.95192,1,0.13901,0.000886445,0.000886445,0.000886445
3,54.6947,0.15589,0.90064,1,0.2618,0.00100322,0.00100322,0.00100322
4,74.2191,0.13669,0.95192,1,0.14036,0.000676802,0.000676802,0.000676802
5,93.0301,0.10311,0.95513,1,0.15241,0.000346736,0.000346736,0.000346736
