epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.7105,0.31402,0.95513,1,0.13515,0.000549627,0.000549627,0.000549627
2,36.7306,0.09937,0.95833,1,0.18328,0.00106882,0.00106882,0.00106882
3,54.0008,0.11889,0.97436,1,0.10294,0.00155134,0.00155134,0.00155134
4,71.3407,0.13727,0.95192,1,0.10913,0.00150197,0.00150197,0.00150197
5,88.8291,0.11641,0.95833,1,0.15663,0.00144696,0.00144696,0.00144696
6,105.801,0.11994,0.97115,1,0.14015,0.00139195,0.00139195,0.00139195
7,122.773,0.09589,0.96795,1,0.1324,0.00133693,0.00133693,0.00133693
8,139.918,0.10413,0.96154,1,0.14828,0.00128192,0.00128192,0.00128192
