epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.6569,0.31484,0.96154,1,0.11407,0.000549627,0.000549627,0.000549627
2,38.437,0.15169,0.96154,1,0.11365,0.00106882,0.00106882,0.00106882
3,58.2808,0.22724,0.94231,1,0.24188,0.00155134,0.00155134,0.00155134
4,76.1863,0.21204,0.9391,1,0.18604,0.00150197,0.00150197,0.00150197
5,94.012,0.19767,0.94872,1,0.18716,0.00144696,0.00144696,0.00144696
6,111.777,0.21467,0.93269,1,0.20947,0.00139195,0.00139195,0.00139195
