epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.1688,0.29042,0.98299,1,0.05156,0.00054928,0.00054928,0.00054928
2,36.5641,0.15113,0.96259,1,0.11558,0.00105025,0.00105025,0.00105025
3,53.9671,0.19752,0.96259,1,0.21682,0.00149621,0.00149621,0.00149621
4,71.1326,0.18118,0.90476,1,0.24064,0.00141945,0.00141945,0.00141945
5,89.0001,0.17323,0.96599,1,0.06158,0.00133693,0.00133693,0.00133693
6,106.644,0.17522,0.97959,1,0.07794,0.00125442,0.00125442,0.00125442
