epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.1064,0.31402,0.95513,1,0.13515,0.000549627,0.000549627,0.000549627
2,36.0637,0.09401,0.96474,1,0.16233,0.000886445,0.000886445,0.000886445
3,54.77,0.09981,0.97756,1,0.05531,0.00100322,0.00100322,0.00100322
4,73.1116,0.09884,0.95833,1,0.10301,0.000676802,0.000676802,0.000676802
5,92.0317,0.06949,0.96795,1,0.07748,0.000346736,0.000346736,0.000346736
